2015年11月29日 11:20,桃園市大溪區台7乙線10.3K(附近),死亡0,受傷1,普通重型-機車,自用-小客車,,,,
2014年01月05日 11:50,桃園縣大溪鎮台七乙線13.3公里處(附近)台7乙線13公里300公尺處東向中線車道,死亡0,受傷1,普通重型-機車,自用-小客車,,,,
2014年01月30日 11:15,桃園縣大溪鎮台7乙線9.6公里處(附近),死亡0,受傷1,普通重型-機車,自用-小客車,,,,
2014年02月03日 9:20,桃園縣大溪鎮新峰里9鄰台七乙線11.7K處(附近)台7乙線11公里7公尺處西向中線車道,死亡0,受傷2,大型重型1-機車,普通重型-機車,普通重型-機車,,,
2014年02月26日 13:43,桃園縣大溪鎮新峰里9鄰台7乙線11.9K處南向東車道,死亡0,受傷1,自用-小貨車,普通重型-機車,,,,
2014年02月28日 17:53,新北市三峽區臺7乙線道路前0公尺數新北市三峽區臺7乙線道路,死亡0,受傷1,腳踏自行車-慢車,,,,,
2014年04月03日 15:29,桃園縣大溪鎮台7乙線8.3公里處(附近),死亡0,受傷1,普通輕型-機車,,,,,
2014年04月19日 15:50,桃園縣大溪鎮新峰里台7乙線10.7K處北向爬坡車道,死亡0,受傷1,大型重型1-機車,,,,,
2014年04月21日 15:00,桃園縣大溪鎮新峰里里8鄰台7乙線11.3K處北向爬坡車道,死亡0,受傷2,普通重型-機車,大型重型1-機車,,,,
2014年06月17日 1:20,桃園縣大溪鎮台7乙線11.3K處北向爬坡車道,死亡0,受傷1,普通重型-機車,,,,,
2014年07月02日 14:40,桃園縣大溪鎮台7乙線10K處(附近),死亡0,受傷1,普通重型-機車,,,,,
2014年07月13日 10:30,桃園縣復興鄉三民村12鄰三民路1段48號前(附近)台7乙線13.9K處北向補助車道,死亡0,受傷1,普通重型-機車,普通輕型-機車,自用-小客車,,,
2014年07月18日 23:50,桃園縣大溪鎮台7乙線10.1公里處(附近),死亡0,受傷1,自用-小客車,,,,,
2014年08月03日 9:00,新北市三峽區前0公尺數台7乙線吉埔幹58號前,死亡0,受傷2,普通重型-機車,大型重型1-機車,,,,
2014年08月04日 11:00,桃園縣大溪鎮新峰里三民路二段(附近)台7乙線11.9K處東向中線車道,死亡0,受傷2,普通重型-機車,普通重型-機車,,,,
2014年08月24日 14:10,桃園縣大溪鎮台七乙線11.8公里處(附近)台7乙線11.85K處北向爬坡車道,死亡0,受傷1,普通重型-機車,,,,,
2014年09月08日 1:05,桃園縣大溪鎮台7乙線11.5K處北向內側車道,死亡0,受傷1,自用-小客車,,,,,
2014年09月27日 1:13,桃園縣大溪鎮台7乙線8.6K處北向內側車道,死亡0,受傷1,大型重型1-機車,,,,,
2014年10月12日 16:53,桃園縣大溪鎮台7乙線9.3K處南向外側車道,死亡0,受傷2,普通重型-機車,其他人-人,,,,
2014年11月06日 15:21,新北市三峽區臺7乙線道路前6.5K,死亡0,受傷1,普通重型-機車,自用-小貨車,,,,
2014年11月20日 15:37,桃園縣大溪鎮新峰里台7乙線11.0K處北向外側車道,死亡0,受傷1,普通重型-機車,,,,,
