009K+000,台7乙線,121.351299,24.850477,285503.058,2749262.034,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
009K+100,台7乙線,121.350805,24.849859,285453.309,2749193.456,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
009K+200,台7乙線,121.349824,24.849882,285354.159,2749195.748,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
009K+300,台7乙線,121.348879,24.849874,285258.656,2749194.618,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
009K+400,台7乙線,121.348771,24.850707,285247.505,2749286.854,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
009K+500,台7乙線,121.348254,24.851459,285195.043,2749370.012,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
009K+600,台7乙線,121.347442,24.851696,285112.914,2749396.053,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
009K+700,台7乙線,121.346554,24.85136,285023.265,2749358.609,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
009K+800,台7乙線,121.346381,24.852117,285005.568,2749442.411,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
009K+900,台7乙線,121.346025,24.852838,284969.388,2749522.178,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
010K+000,台7乙線,121.345068,24.852922,284872.649,2749531.237,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
010K+100,台7乙線,121.344621,24.853462,284827.323,2749590.933,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
010K+200,台7乙線,121.343958,24.854083,284760.147,2749659.547,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
010K+300,台7乙線,121.343698,24.853395,284734.063,2749583.277,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
010K+400,台7乙線,121.343539,24.852564,284718.226,2749491.194,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
010K+500,台7乙線,121.343858,24.851792,284750.681,2749405.768,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
010K+600,台7乙線,121.344712,24.851486,284837.073,2749372.093,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
010K+700,台7乙線,121.344201,24.850972,284785.574,2749315.031,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
010K+800,台7乙線,121.343311,24.851157,284695.577,2749335.295,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
010K+900,台7乙線,121.342789,24.851829,284642.635,2749409.594,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
011K+000,台7乙線,121.341898,24.852182,284552.491,2749448.466,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
011K+100,台7乙線,121.340992,24.851831,284461.026,2749409.36,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
011K+200,台7乙線,121.340471,24.85112,284408.57,2749330.477,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
011K+300,台7乙線,121.339713,24.851279,284331.921,2749347.897,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
011K+400,台7乙線,121.338977,24.85123,284257.552,2749342.285,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
011K+500,台7乙線,121.338085,24.850909,284167.493,2749306.507,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
011K+600,台7乙線,121.337203,24.850536,284078.458,2749264.972,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
011K+700,台7乙線,121.33644,24.850103,284001.465,2749216.822,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
011K+800,台7乙線,121.335552,24.849751,283911.817,2749177.613,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
011K+900,台7乙線,121.334971,24.849104,283853.275,2749105.807,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
012K+000,台7乙線,121.334373,24.848596,283792.977,2749049.392,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
012K+100,台7乙線,121.334492,24.8477,283805.247,2748950.18,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
012K+200,台7乙線,121.334468,24.846816,283803.061,2748852.261,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
012K+300,台7乙線,121.33365,24.846329,283720.522,2748798.118,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
012K+400,台7乙線,121.333219,24.84553,283677.178,2748709.514,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
012K+500,台7乙線,121.333205,24.844642,283676.004,2748611.155,一工處,復興工務段,2015/7/3,桃園市,大溪區,新峰里
012K+600,台7乙線,121.333017,24.843773,283657.238,2748514.857,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
012K+700,台7乙線,121.333177,24.842925,283673.638,2748420.972,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
012K+800,台7乙線,121.333439,24.842067,283700.351,2748326.004,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
012K+900,台7乙線,121.333643,24.841191,283721.206,2748229.028,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
013K+000,台7乙線,121.334194,24.840445,283777.099,2748146.537,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
013K+100,台7乙線,121.334265,24.839589,283784.507,2748051.743,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
013K+200,台7乙線,121.33433,24.838743,283791.306,2747958.056,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
013K+300,台7乙線,121.334279,24.837925,283786.374,2747867.441,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
013K+400,台7乙線,121.333541,24.837326,283711.944,2747800.913,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
013K+500,台7乙線,121.332624,24.837021,283619.342,2747766.904,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
013K+600,台7乙線,121.331922,24.836472,283548.536,2747705.924,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
013K+700,台7乙線,121.331625,24.835619,283518.747,2747611.372,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
013K+800,台7乙線,121.330798,24.835143,283435.286,2747558.447,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
013K+900,台7乙線,121.330289,24.834388,283384.041,2747474.698,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
014K+000,台7乙線,121.33033,24.8335,283388.423,2747376.353,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
014K+100,台7乙線,121.330506,24.832615,283406.45,2747278.373,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
014K+150,台7乙線,121.330638,24.832182,283419.908,2747230.446,一工處,復興工務段,2015/7/3,桃園市,復興區,三民里
